"num_caso","SEX","FEC_NAC","FEC_RIG_PEN","MON_PENSION","Edad","T_Pension"
415,"M","1957/12/02","2020/01/07",324120,63,0
416,"M","1958/01/06","2019/12/21",90979.1,62,1
417,"M","1958/01/16","2019/12/21",324120,62,1
418,"M","1957/09/24","2019/09/01",127170.15,63,1
419,"M","1958/02/10","2020/02/15",177624.05,62,0
420,"M","1958/05/05","2020/04/25",173248.4,62,0
421,"M","1958/04/26","2020/03/28",112713.05,62,0
422,"F","1958/04/15","2018/03/31",102795.9,62,2
423,"F","1958/03/13","2018/02/17",318787,62,2
424,"F","1950/04/06","2011/05/07",172975.4,70,9
425,"M","1954/02/23","2016/12/24",324120,66,4
426,"M","1958/04/23","2020/08/01",202695.85,62,0
427,"M","1958/01/21","2020/02/29",132701.4,62,0
428,"M","1957/10/26","2019/10/26",143723.75,63,1
429,"F","1957/09/04","2017/08/21",194994.9,63,3
430,"M","1952/12/20","2014/11/30",168789.85,68,6
431,"F","1957/09/03","2017/08/05",148193.45,63,3
432,"F","1957/11/13","2017/10/28",235704,63,3
433,"M","1934/07/26","2002/02/09",135272.7,86,18
434,"M","1944/08/01","2013/04/06",324120,76,7
435,"M","1944/11/24","2012/06/01",324120,76,8
436,"M","1945/05/25","2010/03/15",47540.05,75,10
437,"M","1946/12/04","2013/05/06",324120,74,7
438,"M","1947/05/23","2019/02/27",324120,73,1
439,"M","1949/06/18","2012/07/02",102411.5,71,8
440,"M","1950/05/31","2015/03/31",324120,70,5
441,"M","1951/10/06","2019/01/19",324120,69,1
442,"M","1951/04/30","2018/04/28",324120,69,2
443,"M","1954/12/30","2016/12/24",150615,66,4
444,"M","1954/06/28","2016/07/23",148803.4,66,4
445,"M","1954/07/05","2016/09/01",184184.95,66,4
446,"M","1957/09/24","2020/02/01",201719.35,63,0
447,"F","1935/04/26","2003/06/02",20775.1,85,17
448,"F","1943/12/21","2007/04/02",109108.05,77,13
449,"F","1944/03/11","2014/06/30",45788.25,76,6
450,"F","1945/03/15","2007/10/01",72268.3,75,13
451,"F","1945/02/21","2007/07/21",207126.6,75,13
452,"F","1947/02/26","2009/08/03",324120,73,11
453,"F","1947/07/05","2018/03/31",61294.35,73,2
454,"F","1949/11/22","2014/11/29",49564.4,71,6
455,"F","1950/11/16","2010/12/06",79097.15,70,10
456,"F","1951/02/05","2011/12/05",324120,69,9
457,"F","1951/08/11","2016/07/01",324120,69,4
458,"F","1952/03/27","2012/04/09",324120,68,8
459,"F","1952/01/01","2014/11/03",258166,68,6
460,"F","1952/10/14","2017/02/18",177423.6,68,3
461,"F","1952/06/18","2017/10/28",88655.15,68,3
462,"F","1953/01/30","2015/12/25",324120,67,5
463,"F","1955/07/10","2018/02/17",74647.5,65,2
464,"F","1956/06/15","2019/06/22",324120,64,1
465,"F","1958/01/15","2018/02/28",104665.35,62,2
466,"F","1921/02/22","1984/08/01",4477.5,99,36
